423;;;;;;443;;;;;;463;;;;;;483;;;;;
150;;;;;;170;;;;;;190;;;;;;210;;;;;
0.5;;1.0;;2.0;;0.5;;1.0;;2.0;;0.5;;1.0;;2.0;;0.5;;1.0;;2.0;
V (v)_150_05;I (nA)_150_05;V (v)_150_10;I (nA)_150_10;V (v)_150_20;I (nA)_150_20;V (v)_170_05;I (nA)_170_05;V (v)_170_10;I (nA)_170_10;V (v)_170_20;I (nA)_170_20;V (v)_190_05;I (nA)_190_05;V (v)_190_10;I (nA)_190_10;V (v)_190_20;I (nA)_190_20;V (v)_210_05;I (nA)_210_05;V (v)_210_10;I (nA)_210_10;V (v)_210_20;I (nA)_210_20
0.02;0.16;0.02;0.14;0.02;0.11;0.02;0.13;0.02;0.15;0.02;0.14;0.02;0.18;0.02;0.16;0.02;0.10;0.02;0.15;0.02;0.15;0.02;0.10
0.04;0.15;0.04;0.14;0.04;0.12;0.04;0.13;0.04;0.15;0.04;0.14;0.04;0.18;0.04;0.15;0.04;0.11;0.04;0.16;0.04;0.16;0.04;0.10
0.07;0.15;0.07;0.13;0.07;0.11;0.07;0.13;0.07;0.14;0.07;0.13;0.07;0.18;0.07;0.15;0.07;0.12;0.07;0.17;0.07;0.16;0.07;0.12
0.09;0.13;0.09;0.12;0.09;0.11;0.09;0.13;0.09;0.15;0.09;0.14;0.09;0.17;0.09;0.16;0.09;0.13;0.09;0.17;0.09;0.16;0.09;0.13
0.12;0.12;0.12;0.11;0.12;0.11;0.12;0.15;0.12;0.15;0.12;0.13;0.12;0.16;0.12;0.15;0.12;0.15;0.12;0.18;0.12;0.17;0.12;0.15
0.14;0.11;0.14;0.12;0.14;0.11;0.14;0.14;0.14;0.15;0.14;0.14;0.14;0.15;0.14;0.16;0.14;0.16;0.14;0.15;0.14;0.15;0.14;0.14
0.17;0.11;0.17;0.12;0.17;0.11;0.17;0.15;0.17;0.13;0.17;0.13;0.17;0.15;0.17;0.16;0.17;0.15;0.17;0.17;0.17;0.15;0.17;0.14
0.19;0.12;0.19;0.12;0.19;0.14;0.19;0.14;0.19;0.15;0.19;0.13;0.19;0.16;0.19;0.17;0.19;0.16;0.19;0.16;0.19;0.16;0.19;0.14
0.21;0.11;0.21;0.12;0.21;0.13;0.21;0.14;0.21;0.15;0.21;0.12;0.21;0.14;0.21;0.16;0.21;0.17;0.21;0.16;0.21;0.16;0.21;0.17
0.24;0.12;0.24;0.13;0.24;0.13;0.24;0.14;0.24;0.15;0.24;0.15;0.24;0.14;0.24;0.17;0.24;0.18;0.24;0.15;0.24;0.15;0.24;0.16
0.26;0.12;0.26;0.13;0.26;0.13;0.26;0.14;0.26;0.14;0.26;0.13;0.26;0.14;0.26;0.16;0.26;0.16;0.26;0.16;0.26;0.15;0.26;0.16
0.29;0.13;0.29;0.12;0.29;0.14;0.29;0.13;0.29;0.15;0.29;0.14;0.29;0.15;0.29;0.16;0.29;0.16;0.29;0.15;0.29;0.14;0.29;0.16
0.31;0.13;0.31;0.12;0.31;0.14;0.31;0.13;0.31;0.15;0.31;0.13;0.31;0.14;0.31;0.15;0.31;0.15;0.31;0.16;0.31;0.16;0.31;0.18
0.34;0.13;0.34;0.13;0.34;0.13;0.34;0.13;0.34;0.14;0.34;0.15;0.34;0.15;0.34;0.16;0.34;0.16;0.34;0.15;0.34;0.16;0.34;0.17
0.36;0.13;0.36;0.12;0.36;0.12;0.36;0.12;0.36;0.14;0.36;0.14;0.36;0.14;0.36;0.16;0.36;0.16;0.36;0.16;0.36;0.16;0.36;0.17
0.39;0.12;0.39;0.12;0.39;0.12;0.39;0.13;0.39;0.14;0.39;0.16;0.39;0.15;0.39;0.17;0.39;0.16;0.39;0.15;0.39;0.16;0.39;0.14
0.41;0.11;0.41;0.12;0.41;0.12;0.41;0.13;0.41;0.13;0.41;0.14;0.41;0.13;0.41;0.16;0.41;0.15;0.41;0.13;0.41;0.17;0.41;0.15
0.43;0.10;0.43;0.12;0.43;0.11;0.43;0.13;0.43;0.12;0.43;0.16;0.43;0.13;0.43;0.15;0.43;0.15;0.43;0.13;0.43;0.17;0.43;0.14
0.46;0.10;0.46;0.14;0.46;0.11;0.46;0.12;0.46;0.12;0.46;0.14;0.46;0.12;0.46;0.14;0.46;0.14;0.46;0.13;0.46;0.17;0.46;0.15
0.48;0.10;0.48;0.15;0.48;0.10;0.48;0.12;0.48;0.12;0.48;0.15;0.48;0.13;0.48;0.15;0.48;0.16;0.48;0.13;0.48;0.16;0.48;0.14
0.51;0.09;0.51;0.13;0.51;0.13;0.51;0.13;0.51;0.12;0.51;0.14;0.51;0.11;0.51;0.13;0.51;0.15;0.51;0.13;0.51;0.16;0.51;0.15
0.53;0.09;0.53;0.14;0.53;0.12;0.53;0.15;0.53;0.12;0.53;0.15;0.53;0.12;0.53;0.13;0.53;0.15;0.53;0.13;0.53;0.16;0.53;0.14
0.56;0.09;0.56;0.14;0.56;0.13;0.56;0.15;0.56;0.12;0.56;0.14;0.56;0.11;0.56;0.12;0.56;0.13;0.56;0.13;0.56;0.16;0.56;0.16
0.58;0.11;0.58;0.15;0.58;0.13;0.58;0.15;0.58;0.13;0.58;0.15;0.58;0.15;0.58;0.13;0.58;0.14;0.58;0.16;0.58;0.16;0.58;0.15
0.61;0.11;0.61;0.14;0.61;0.14;0.61;0.15;0.61;0.16;0.61;0.13;0.61;0.14;0.61;0.14;0.61;0.14;0.61;0.16;0.61;0.16;0.61;0.15
0.63;0.11;0.63;0.14;0.63;0.12;0.63;0.16;0.63;0.16;0.63;0.14;0.63;0.16;0.63;0.15;0.63;0.14;0.63;0.16;0.63;0.17;0.63;0.14
0.65;0.11;0.65;0.13;0.65;0.13;0.65;0.16;0.65;0.16;0.65;0.13;0.65;0.15;0.65;0.13;0.65;0.12;0.65;0.16;0.65;0.16;0.65;0.14
0.68;0.12;0.68;0.14;0.68;0.11;0.68;0.16;0.68;0.16;0.68;0.13;0.68;0.18;0.68;0.15;0.68;0.13;0.68;0.18;0.68;0.17;0.68;0.13
0.70;0.12;0.70;0.13;0.70;0.12;0.70;0.14;0.70;0.17;0.70;0.12;0.70;0.16;0.70;0.15;0.70;0.13;0.70;0.18;0.70;0.16;0.70;0.14
0.73;0.12;0.73;0.14;0.73;0.11;0.73;0.14;0.73;0.16;0.73;0.13;0.73;0.19;0.73;0.17;0.73;0.16;0.73;0.17;0.73;0.16;0.73;0.14
0.75;0.11;0.75;0.13;0.75;0.12;0.75;0.14;0.75;0.15;0.75;0.12;0.75;0.14;0.75;0.16;0.75;0.15;0.75;0.17;0.75;0.14;0.75;0.15
0.78;0.12;0.78;0.13;0.78;0.11;0.78;0.13;0.78;0.14;0.78;0.12;0.78;0.18;0.78;0.18;0.78;0.16;0.78;0.17;0.78;0.14;0.78;0.14
0.80;0.12;0.80;0.12;0.80;0.12;0.80;0.13;0.80;0.15;0.80;0.11;0.80;0.14;0.80;0.16;0.80;0.16;0.80;0.17;0.80;0.14;0.80;0.15
0.83;0.12;0.83;0.13;0.83;0.11;0.83;0.14;0.83;0.14;0.83;0.13;0.83;0.17;0.83;0.18;0.83;0.18;0.83;0.17;0.83;0.14;0.83;0.17
0.85;0.11;0.85;0.13;0.85;0.13;0.85;0.14;0.85;0.14;0.85;0.14;0.85;0.13;0.85;0.16;0.85;0.18;0.85;0.16;0.85;0.13;0.85;0.17
0.87;0.12;0.87;0.13;0.87;0.13;0.87;0.14;0.87;0.14;0.87;0.15;0.87;0.17;0.87;0.17;0.87;0.17;0.87;0.16;0.87;0.15;0.87;0.17
0.90;0.12;0.90;0.11;0.90;0.14;0.90;0.14;0.90;0.14;0.90;0.14;0.90;0.13;0.90;0.15;0.90;0.15;0.90;0.16;0.90;0.14;0.90;0.19
0.92;0.12;0.92;0.13;0.92;0.14;0.92;0.14;0.92;0.15;0.92;0.15;0.92;0.16;0.92;0.17;0.92;0.17;0.92;0.15;0.92;0.17;0.92;0.20
0.95;0.12;0.95;0.13;0.95;0.14;0.95;0.14;0.95;0.15;0.95;0.15;0.95;0.13;0.95;0.14;0.95;0.16;0.95;0.15;0.95;0.16;0.95;0.19
0.97;0.12;0.97;0.13;0.97;0.14;0.97;0.12;0.97;0.14;0.97;0.16;0.97;0.17;0.97;0.17;0.97;0.16;0.97;0.15;0.97;0.17;0.97;0.19
1.00;0.12;1.00;0.12;1.00;0.15;1.00;0.12;1.00;0.15;1.00;0.15;1.00;0.13;1.00;0.14;1.00;0.16;1.00;0.15;1.00;0.15;1.00;0.18
1.02;0.11;1.02;0.12;1.02;0.14;1.02;0.12;1.02;0.14;1.02;0.14;1.02;0.15;1.02;0.17;1.02;0.16;1.02;0.14;1.02;0.18;1.02;0.18
1.05;0.11;1.05;0.13;1.05;0.14;1.05;0.12;1.05;0.13;1.05;0.14;1.05;0.12;1.05;0.13;1.05;0.16;1.05;0.14;1.05;0.16;1.05;0.17
